"state_code","source","name","ward_code","category","subtype","management","education","poi_type","global_id","id","no_of_teachers","no_of_students","Geometry"
"PL","OSGOF","University Of Jos Old Campus","PLSJJN05","Tertiary","University","Public","Formal","School","50b31c1b-1506-4f33-9025-9a343420f660","u_fc_poi_school.33651",,,"POINT (8.89248 9.91357)"
"CR","GRID","Nogak Polytechnic Ikom","CRSKMM03","Tertiary","Standard","Private","Formal","School","50dab02f-a4cb-4246-b74e-f0644f29aa58","u_fc_poi_school.33721",,,"POINT (8.7342933 5.9609967)"
"EK","GRID","Crown Polytechnic Odo","EKSADO07","Tertiary","Adult Education","Private","Formal","School","5136b4d4-780a-4191-8289-2d0eff0f4d55","u_fc_poi_school.33861",,,"POINT (5.13211 7.614595)"
"CR","NMIS","Government Technical College Afafanyi","CRSTGD08","Tertiary","Adult Education","Public","Formal","School","51819647-f456-4b2f-9d0d-812a9d1002ed","u_fc_poi_school.33992",,,"POINT (7.997392 5.883208)"
"TA","GRID","College Of Nursing And Midwifery Jalingo","TRSJAL03","Tertiary","Tertiary","Public","Formal","School","51f8c7ce-40d9-4561-9ae3-f2d0a30ab003","u_fc_poi_school.34172","54","329","POINT (11.391357 8.9274447)"
"EK","GRID","Ifeoluwa International Schools","EKSADO12","Tertiary","Standard","Private","Formal","School","52335a31-e595-421e-93b4-0559e85f911f","u_fc_poi_school.34272",,,"POINT (5.2426917 7.675505)"
"AD","OSGOF","Adamawa State University Mubi","ADSMUB05","Tertiary","University","Public","Formal","School","52915ba1-cb0d-4007-b983-a7af7b3fac49","u_fc_poi_school.34434",,,"POINT (13.27915 10.27873)"
"AD","NMIS","Technical Training Center","ADSGUY07","Tertiary","Adult Education","Public","Formal","School","52bd59b4-e9e5-4758-a04b-fcf394ff436a","u_fc_poi_school.34508",,,"POINT (11.953936 9.918468)"
"GO","GRID","Madrasatul Dhiyail Quaran Littafeez","GMSAKK02","Tertiary","Standard","Private","Formal","School","53eecae1-763d-4dae-8931-9424a361f197","u_fc_poi_school.35021",,,"POINT (11.198665 10.2718117)"
"KW","OSGOF","National Open University","KWSFUF05","Tertiary","University","Public","Formal","School","5481b4da-7a30-4532-8a5b-179484f21e4b","u_fc_poi_school.35284",,,"POINT (4.58299 8.51411)"
"EK","GRID","Christ International Comprehensive College Abadoekiti","EKSGBN10","Tertiary","Standard","Private","Formal","School","549e2be7-5ffc-4ee5-a964-5595d24991e5","u_fc_poi_school.35330","8","27","POINT (5.529125 7.58206)"
"OG","eHA Polio","Satos Ornamental School","OGSIUE05","Tertiary","Adult Education","Faith Based NGO Funded","Formal","School","5615da64-428d-4270-9fbb-4c5a7c9f9005","u_fc_poi_school.35950",,,"POINT (3.9682183 6.8266317)"
"EK","GRID","Davic British International School Ikere Ekiti","EKSIKR09","Tertiary","Standard","Private","Formal","School","5634401e-5958-474a-868f-4ffeb45b19c5","u_fc_poi_school.36004",,,"POINT (5.2288933 7.4575617)"
"AB","GRID","Clifford University","ABSKPU10","Tertiary","University","Faith Based","Formal","School","568f00cc-4e46-45b9-af1a-dbc2884d910e","u_fc_poi_school.36160","22","100","POINT (7.3505167 5.3947717)"
"EN","GRID","National Power Training Institute Of Nigeria","ENSJRV05","Tertiary","Adult Education","Public","Formal","School","56ac8ee8-f4ef-4577-a20d-a820a6788498","u_fc_poi_school.36195",,,"POINT (7.2749967 6.258395)"
"BY","NMIS","Adult Literacy Akpamama","BYSBRS06","Tertiary","Adult Education","Private","Formal","School","56bef053-032e-4d18-917d-d2b51136bf7b","u_fc_poi_school.36222",,,"POINT (6.010165 4.304227)"
"EN","GRID","Health Centre School Rehabilitation Ibagwa Agu","ENSNSK05","Tertiary","Adult Education","Public","Formal","School","56f14f91-39a5-4dba-9bc9-1b2312687d10","u_fc_poi_school.36295",,,"POINT (7.2823 6.977115)"
"LA","OSGOF","The London Acedemy","LASLMD10","Tertiary","Adult Education","Public","Formal","School","578d421f-8401-4d3d-aa74-b4a610a9842b","u_fc_poi_school.36583",,,"POINT (3.3763215 6.5143802)"
"IM","GRID","Ezela College Of Nursing And Health Science Umuseke Okwudor Njaba","IMSNSA04","Tertiary","Adult Education","Public","Formal","School","5820e26d-f2d8-4002-8aec-658fdc13cacc","u_fc_poi_school.36851",,,"POINT (7.0124533 5.7259033)"
"CR","GRID","Institute Of Technology And Management Ugep","CRSGEP10","Tertiary","Standard","Public","Formal","School","588a9cb6-e000-4775-9bc3-6cc92b8cc5e7","u_fc_poi_school.37032",,,"POINT (8.0917467 5.829165)"
