"state_code","source","name","ward_code","category","subtype","management","education","poi_type","global_id","id","no_of_teachers","no_of_students","Geometry"
"SO","NMIS","Mallamawa Islamiyya School","60807","Primary","Primary","Public","Religious","School","87df88bd-763a-4207-bfec-24792cffdea0","u_fc_poi_school.57008",,,"POINT (5.2937496 13.7075409)"
"KN","NMIS","Kafi Agalawa Islamiyya School","KN2805","Primary","Primary","Public","Religious","School","88132899-a62b-460a-9099-4870940e1316","u_fc_poi_school.57094",,,"POINT (8.36426 11.87887)"
"NI","NMIS","Rugan Aliyu Primary School","NISAGA02","Primary","Primary","Public","Religious","School","8822dac0-a6ba-44d4-bf6d-72d2e4ee226d","u_fc_poi_school.57122",,,"POINT (6.4139567 9.0452)"
"KN","NMIS","Ahamad Muhammad","KN1803","Other","Other","Public","Religious","School","884f91b4-9f80-49ee-b2dc-1bac5d164136","u_fc_poi_school.57200",,,"POINT (8.484445 11.93926)"
"BR","NMIS","Gubio Alhuda Islamiya Pramary School","10904","Primary","Primary","Public","Religious","School","88664328-ee3e-4e66-b5f6-3d26fdec1733","u_fc_poi_school.57231",,,"POINT (12.7842001 12.4980967)"
"KN","NMIS","Tahafizul Quran Dan Gwalalo","KN1808","Primary","Primary","Public","Religious","School","888cac0a-5ec0-4420-93ce-8093bdd753b3","u_fc_poi_school.57289",,,"POINT (8.489314 11.98576)"
"KD","OSGOF","Islamic Flag Center","KD2312","Other","Standard","Faith Based","Religious","School","88f1c027-193b-4e5f-9395-66a3bd252896","u_fc_poi_school.57442",,,"POINT (7.69582 11.05847)"
"KN","NMIS","HayaaUddeen Primary School","KN1803","Primary","Other","Public","Religious","School","88f411a1-3c40-4699-b7d0-1739b80c30c8","u_fc_poi_school.57447",,,"POINT (8.4873 11.95855)"
"OG","NMIS","Ithad Tijaniyat Nursery Primary School","OGSADO16","Primary","Standard","Private","Religious","School","88ffafb0-1985-4e28-aa03-1df4336c9fb2","u_fc_poi_school.57465",,,"POINT (3.2543382 6.7102772)"
"KT","NMIS","Ishadul Atafahl Dinya","40907","Primary","Primary","Public","Religious","School","89037512-33cc-41c9-88d8-b081eac802f1","u_fc_poi_school.57474",,,"POINT (7.2256499 12.1534072)"
"KN","NMIS","Jobe Islamiyya School","KN3906","Primary","Primary","Public","Religious","School","89189d5c-b204-45bb-9736-bf607fd32908","u_fc_poi_school.57504",,,"POINT (8.316714 12.02837)"
"JI","NMIS","Hidayatul Islamiyya Primary School","JI1807","Primary","Primary","Public","Religious","School","89b69710-e49f-4f4c-af5d-5f4d504acc56","u_fc_poi_school.57762",,,"POINT (10.3155241 12.6882811)"
"KT","NMIS","Madarasatul Umulkairi Rafukka Kofo Ukku","42105","Primary","Primary","Public","Religious","School","8a34e559-d55c-4ca0-900b-13b2b2f2ff95","u_fc_poi_school.57996",,,"POINT (7.6039101 13.0063057)"
"KN","NMIS","Gogori Islamic Primary School","KN0304","Primary","Primary","Public","Religious","School","8a914ed5-758b-47fc-a027-99cd93bd7d4a","u_fc_poi_school.58163",,,"POINT (8.068644 12.15152)"
"KN","NMIS","Kiyawa Islamiyya","KN3506","Primary","Primary","Public","Religious","School","8ad20b7c-5fad-402e-aa42-4fc7c21d63ef","u_fc_poi_school.58262",,,"POINT (8.057714 11.98982)"
"KN","NMIS","Ubayyu Bn Kaab Islamiyya","KN3509","Primary","Primary","Public","Religious","School","8b11f453-1df4-4794-b744-d7f43b042c59","u_fc_poi_school.58365",,,"POINT (7.990953 12.05335)"
"KT","NMIS","Madrasatul Nurul Islam","40904","Primary","Pre Primary","Public","Religious","School","8b2654d3-7898-4515-b694-cb1da1d8cc43","u_fc_poi_school.58397",,,"POINT (7.3220066 12.2629015)"
"KN","NMIS","Yushau Nurul Huda Islamiyya","KN4109","Primary","Primary","Public","Religious","School","8b282f46-4456-439f-b410-854d29182fe8","u_fc_poi_school.58401",,,"POINT (8.371391 11.28165)"
"KW","NMIS","Chief Imam Quranic School","KWSLAF09","Primary","Standard","Private","Religious","School","8b4fb761-c457-4c7d-b476-4691d68ad086","u_fc_poi_school.58467",,,"POINT (4.962472 9.064776)"
"KN","NMIS","Mallan Nuhu Islamiyya Primary","KN3108","Primary","Primary","Public","Religious","School","8b64e0ad-0d42-44da-b57d-a3b7df236c9d","u_fc_poi_school.58503",,,"POINT (8.545264 12.03673)"
"KT","NMIS","Madarasatul Tartilul Quran","40904","Primary","Primary","Public","Religious","School","8b736c50-d895-42ba-83a6-28ccdbc7352b","u_fc_poi_school.58530",,,"POINT (7.3340657 12.2615688)"
"KN","NMIS","Wazo Islamiyya School","KN4312","Primary","Primary","Public","Religious","School","8bf81151-dc71-4de0-89b0-17fa598749a1","u_fc_poi_school.58759",,,"POINT (8.68587 11.96621)"
"BA","NMIS","Islamiya Primary School Gabanga","BA1905","Primary","Primary","Private","Religious","School","8c1c77bf-c8a0-4343-a4d8-338b7d983231","u_fc_poi_school.58827",,,"POINT (9.7894717 11.2249884)"
"KN","NMIS","Sheik Jibirin Islamiyya","KN3011","Primary","Primary","Public","Religious","School","8c1e2c5a-7e89-4b2c-a0bb-764609704d36","u_fc_poi_school.58831",,,"POINT (8.69538 12.17414)"
"KN","NMIS","Sharif Abba Islamiyya","KN1402","Primary","Primary","Public","Religious","School","8c41d35e-ec90-4390-bf51-7834c30e0cda","u_fc_poi_school.58899",,,"POINT (8.856751 11.56863)"
"KN","NMIS","Nazaki Islamiyya School","KN3303","Primary","Primary","Public","Religious","School","8c5dc289-cca2-4d88-bca9-bc14ad2913a3","u_fc_poi_school.58935",,,"POINT (8.189013 11.99527)"
"ZA","OSGOF","Islamiya School Gidan Shaho","81411","Other","Standard","Faith Based","Religious","School","8c7a840b-6680-47d5-8363-d12c0ed154a3","u_fc_poi_school.58984",,,"POINT (6.75535 12.80502)"
"KN","NMIS","Tamburawa Islamiyya","KN1908","Primary","Primary","Public","Religious","School","8c7fe525-6a09-4103-9469-b55a101420df","u_fc_poi_school.58995",,,"POINT (7.86903 11.90144)"
