,id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teachers,no_of_students,global_id,geometry
1102,u_fc_poi_school.61191,KN,NMIS,Government Senior Islamic School Gwarzo,KN1902,Secondary,Senior,Public,Religious,School,,,91be17df-8c00-4f7c-a001-feae727d1d2c,POINT (7.952622 11.90005)
1103,u_fc_poi_school.61232,KN,NMIS,Sunusiyya Islamiyya,KN1810,Primary,Primary,Public,Religious,School,,,91dabbf6-9797-4bfc-bf7b-16c7598177b9,POINT (8.501219000000001 11.98504)
1104,u_fc_poi_school.61252,KN,NMIS,Madarasatul Nuril Islamiyya,KN4005,Primary,Primary,Public,Religious,School,,,91ec06ad-a1f3-406d-9373-9d9262548c8b,POINT (8.022081 12.31067)
1105,u_fc_poi_school.61349,KN,NMIS,Senior Islamic School Bebeji,KN0403,Secondary,Senior,Public,Religious,School,,,922bcf62-bcdb-45b2-a075-5a469b26924e,POINT (8.267415 11.66764)
1106,u_fc_poi_school.61365,JI,NMIS,Tarbiyatul Nisae Islamiya Women School Gerawa,JI2402,Primary,Primary,Private,Religious,School,,,92319116-a430-4042-9ccd-e9d869b0a411,POINT (8.243347200000001 12.6289587)
1107,u_fc_poi_school.61564,KN,NMIS,Government Junior Secondary School Madachi,KN3203,Secondary,Junior,Public,Religious,School,,,92c07b7f-9717-4e62-bb6f-8187d5fb3cf5,POINT (8.611694 11.57447)
1108,u_fc_poi_school.61597,KN,NMIS,Darikul Huda,KN3007,Other,Other,Public,Religious,School,,,92d37e51-21da-4a4d-b3c9-4023449c74f8,POINT (8.658173 12.18072)
1109,u_fc_poi_school.61603,KN,NMIS,Government Senior Islamic School Riji Gangare,KN1906,Secondary,Senior,Public,Religious,School,,,92d6481b-9e9a-4c2d-9188-96a285f90e23,POINT (7.915407 11.94905)
1110,u_fc_poi_school.61667,KN,NMIS,Kore Islamiyya,KN0808,Primary,Primary,Public,Religious,School,,,92ff99cd-b30e-413d-af13-902344ca7752,POINT (8.747488000000001 12.35804)
1111,u_fc_poi_school.61770,KN,NMIS,Karofin Talan Islamiya,KN3210,Primary,Primary,Public,Religious,School,,,93451f76-90ca-4414-883f-9885d7c86bc1,POINT (8.54429 11.57288)
1112,u_fc_poi_school.61778,KN,NMIS,Danbagina Isl Primary School,KN0902,Primary,Primary,Public,Religious,School,,,934b3003-09c1-40bd-80d8-26fdc22e9231,POINT (8.79036 11.81779)
1113,u_fc_poi_school.61973,NI,NMIS,Tungan Rogo Nomadic School,NISWSH11,Primary,Primary,Public,Religious,School,,,93b5d5b9-7c85-4993-9408-618c39e9550e,POINT (6.2021733 9.678376699999999)
1114,u_fc_poi_school.61990,KN,NMIS,Jangefe Islamiyal,KN2601,Primary,Primary,Public,Religious,School,,,93bf4189-6ff1-497d-8b4c-f04087c54f88,POINT (8.205353000000001 12.44756)
1115,u_fc_poi_school.62071,KN,NMIS,Sheik Muaazu Islamiyya Fogolo,KN0504,Primary,Primary,Public,Religious,School,,,93f4675e-d9ff-41a2-8f0e-96d40b9536da,POINT (8.445724 12.30163)
1116,u_fc_poi_school.62120,KN,NMIS,Tani Islamiyya,KN1605,Primary,Primary,Public,Religious,School,,,940f3b00-18fd-4847-b581-158baacd14c4,POINT (9.005732 11.85672)
1117,u_fc_poi_school.62122,IM,NMIS,Zion Academy,IMSKGE11,Primary,Standard,Private,Religious,School,,,940ffba9-b2f9-423b-b369-5d60e87e9f0e,POINT (7.329365 5.763675)
1118,u_fc_poi_school.62168,KN,NMIS,Muftahul Khairi Islamiyya,KN1509,Primary,Primary,Public,Religious,School,,,9425c31b-cf01-42e7-be8f-130fc9347d15,POINT (8.385814 11.71621)
1119,u_fc_poi_school.62203,ZA,OSGOF,Islamiya School Kwaren Ganuwa,81306,Other,Standard,Faith Based,Religious,School,,,943aa670-5c69-4313-b8f6-65a52dc456c6,POINT (6.78687 11.89998)
1120,u_fc_poi_school.62251,ED,NMIS,Evbuotubu Primary School,EDSUSL01,Primary,Primary,Public,Religious,School,,,9455f7eb-1e94-4fd6-a8b3-9a258ea3d0c8,POINT (5.5721713 6.3382394)
1121,u_fc_poi_school.62336,TA,NMIS,Madarasatul Atakawa Islamic School,TRSJAL01,Primary,Standard,Public,Religious,School,,,9490e3f6-e2f7-4c40-8406-1fe4b5e2963e,POINT (11.34576 8.912659)
1122,u_fc_poi_school.62361,SO,NMIS,Sunnah Islamiyya School Wauru,60406,Secondary,Aggregate,Private,Religious,School,,,949e4f85-54f7-4f21-b199-9c494fb25b7d,POINT (5.490675 13.7688571)
1123,u_fc_poi_school.62366,KD,OSGOF,Bethel Baptist Schools,KD0903,Other,Standard,Faith Based,Religious,School,,,94a0af45-f354-4316-a5e0-e9ae9387626d,POINT (7.4414675 10.5814281)
1124,u_fc_poi_school.62419,KN,NMIS,Jihadi Finnafsi Islamiyya School,KN2202,Primary,Primary,Public,Religious,School,,,94c1eeae-ab0a-44bb-b27f-4506dbb72ea3,POINT (8.093748 11.78132)
1125,u_fc_poi_school.62446,KN,NMIS,Nurul Islamiya Kawaji,KN0501,Primary,Primary,Public,Religious,School,,,94cfa485-e1a3-4a4d-8e91-73d4436148c3,POINT (8.343061000000001 12.22626)
1126,u_fc_poi_school.62450,KT,NMIS,Kangiwa Islamic,43410,Primary,Primary,Public,Religious,School,,,94d0fc71-66ee-413e-acea-0df114b3f0ce,POINT (8.487899199999999 13.0525197)
